TYPE DESCRIPTION KEY
Aktionsart Accomplishment accmp
Aktionsart Achievement ach
Aktionsart Activity acty
Aktionsart Atelic atel
Aktionsart Durative dur
Aktionsart Dynamic dyn
Aktionsart Punctual pct
Aktionsart Semelfactive semel
Aktionsart Stative stat
Aktionsart Telic tel
Animacy Animate anim
Animacy Human hum
Animacy Inanimate inan
Animacy Non-human nhum
Argument Marking-3-sg-Object argac3s
Aspect Habitual hab
Aspect Imperfective ipfv
Aspect Iterative iter
Aspect Perfective pfv
Aspect Perfect prf
Aspect Progressive prog
Aspect Prospective prosp
Case Ablative abl
Case Absolutive abs
Case Accusative acc
Case Allative all
Case Near ante
Case Approximative apprx
Case Next-to apud
Case At at
Case Aversive avr
Case Benefactive ben
Case Essive-modal byway
Case Near circ
Case Comitative com
Case Comparative compv
Case Dative dat
Case Equative eqtv
Case Ergative erg
Case Essive ess
Case Formal frml
Case Genitive gen
Case In in
Case Instrumental ins
Case Among inter
Case Nominative nom
Case Nominative-s-only noms
Case On on
Case On-horizontal onhr
Case On-vertical onvr
Case Behind post
Case Privative priv
Case Prolative/translative prol
Case Proprietive propr
Case Proximate prox
Case Purposive prp
Case Partitive prt
Case Relative rel
Case Distal rem
Case Under sub
Case Terminative term
Case Translative trans
Case Versative vers
Case Vocative voc
Comparison Absolute ab
Comparison Comparative cmpr
Comparison Equative eqt
Comparison Relative rl
Comparison Superlative sprl
Definiteness Definite def
Definiteness Indefinite indf
Definiteness Non-Specific nspec
Definiteness Specific spec
Deixis Above abv
Deixis Below bel
Deixis Even even
Deixis Medial med
Deixis No-Reference-Point noref
Deixis Invisible nvis
Deixis Phoric phor
Deixis Proximate prox
Deixis First-Person-Reference  ref1
Deixis Second-Person-Reference  ref2
Deixis Remote remt
Deixis Visible vis
Evidentiality Assumed assum
Evidentiality Auditory aud
Evidentiality Direct drct
Evidentiality Firsthand fh
Evidentiality Hearsay hrsy
Evidentiality Inferred infer
Evidentiality Non-firsthand nfh
Evidentiality Non-visual-sensory nvsen
Evidentiality Quotative quot
Evidentiality Reported rprt
Evidentiality Sensory sen
Finiteness Finite fin
Finiteness Nonfinite nfin
Gender Bantu-Noun-Classes bantu1-23
Gender Feminine fem
Gender Masculine masc
Gender Nakh-Daghestanian-Noun-Classes nakh1-8
Gender Neuter neut
Information Structure-Focus foc
Information Structure-Topic top
Interrogativity Declarative decl
Interrogativity Interrogative int
Language-Specific Features lgspec1
Language-Specific Features lgspec2
Mood Admirative adm
Mood Australian-Non-Purposive aunprp
Mood Australian-Purposive auprp
Mood Conditional cond
Mood Debitive deb
Mood Deductive ded
Mood Imperative-Jussive imp
Mood Indicative ind
Mood Intentive inten
Mood Irrealis irr
Mood Likely lkly
Mood Obligative oblig
Mood Optative-Desiderative opt
Mood Permissive perm
Mood Potential pot
Mood General-Purposive purp
Mood Realis real
Mood Subjunctive sbjv
Mood Simulative sim
Number Dual du
Number Greater-paucal gpauc
Number Greater-plural grpl
Number Inverse invn
Number Paucal pauc
Number Plural pl
Number Singular sg
Number Trial tri
POS Adjective adj
POS Adposition adp
POS Adverb adv
POS Article art
POS Auxiliary aux
POS Classifier clf
POS Complementizer comp
POS Conjunction conj
POS Determiner det
POS Interjection intj
POS Noun n
POS Numeral num
POS Particle part
POS Pronoun pro
POS Proper-Name propn
POS Verb v
POS Converb v.cvb
POS Masdar v.msdr
POS Participle v.ptcp
Person Zero-person 0
Person First-person 1
Person Second-person 2
Person Third-person 3
Person Fourth-person 4
Person Exclusive excl
Person Inclusive incl
Person Obviative obv
Person Proximate prx
Polarity Positive pos
Polarity Negative neg
Politeness Avoidance-style avoid
Politeness Colloquial col
Politeness Formal-Referent-Elevating elev
Politeness Formal-register foreg
Politeness Formal-form form
Politeness High-status high
Politeness Formal-Speaker-Humbling humb
Politeness Informal infm
Politeness Literary lit
Politeness Low-status low
Politeness Polite pol
Politeness High-status-elevated stelev
Politeness High-status-supreme stsupr
Possession Alienable-possession aln
Possession Inalienable-possession naln
Possession Possession-by-1.du pss1d
Possession Possession-by-1.du.excl pss1de
Possession Possession-by-1.du.incl pss1di
Possession Possession-by-1.pl pss1p
Possession Possession-by-1.pl.excl pss1pe
Possession Possession-by-1.pl.incl pss1pi
Possession Possession-by-1.sg pss1s
Possession Possession-by-2.du pss2d
